Location?,Interaction?,Use?,Completed?,Study ID,Search Term,Authors,Title,SO,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,decapod,"Tricarico, Elena; Atema, Jella; Gherardi, Francesca",,,,,,,,Efficiency of aggregations for shell recruitment by hermit crabs (Cecapoda anomura),,,,,,,,Redia,,,,87,,,,235,237,,,,,2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,No,duplicate (26),decapod,"Meise, CJ; Stehlik, LL",,,,,,,,"Habitat use, temporal abundance variability, and diet of blue crabs from a New Jersey estuarine system",,,,,,,,ESTUARIES,,,,26,3,,,731,745,,10.1007/BF02711984,,,6/3/15,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,No,duplicate ,decapod,"Fell, PE; Warren, RS; Light, JK; Rawson, RL; Fairley, SM",,,,,,,,"Comparison of fish and macroinvertebrate use of Typha angustifolia, Phragmites australis, and treated Phragmites marshes along the lower Connecticut River",,,,,,,,ESTUARIES,,,,26,2B,,,534,551,,10.1007/BF02823729,,,4/3/15,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No,,duplicate ,decapod,"Jivoff, PR; Able, KW",,,,,,,,"Blue crab, Callinectes sapidus, response to the invasive common reed, Phragmites australis: Abundance, size, sex ratio, and molting frequency",,,,,,,,ESTUARIES,,,,26,2B,,,587,595,,10.1007/BF02823733,,,4/3/15,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No,,duplicate ,decapod,"Martino, EJ; Able, KW",,,,,,,,Fish assemblages across the marine to low salinity transition zone of a temperate estuary,,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,56,5/6/15,,,969,987,,10.1016/S0272-7714(02)00305-0,,,4/3/15,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No,,duplicate ,decapod,"Teo, SLH; Able, KW",,,,,,,,Growth and production of the mummichog (Fundulus heteroclitus) in a restored salt marsh,,,,,,,,ESTUARIES,,,,26,1,,,51,63,,10.1007/BF02691693,,,2/3/15,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No,,duplicate ,decapod,"Hagan, SM; Able, KW",,,,,,,,Seasonal changes of the pelagic fish assemblage in a temperate estuary,,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,56,1,,,15,29,,10.1016/S0272-7714(02)00116-6,,,1/3/15,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,No,Yes,,decapod,"Posey, MH; Alphin, TD; Meyer, DL; Johnson, JM",,,,,,,,Benthic communities of common reed Phragmites australis and marsh cordgrass Spartina alterniflora marshes in Chesapeake Bay,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,261,,,,51,61,,10.3354/meps261051,,,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,YEs,Yes,Yes,42,decapod,"Weis, Judith S.; Windham, Lisamarie; Santiago-Bass, Celine; Weis, Peddrick",,,,,,,,"Growth, survival, and metal content of marsh invertebrates fed diets of detritus from Spartina alterniflora Loisel. and Phragmites australis Cav. Trin. ex Steud. from metal-contaminated and clean sites",,,,,,,,Wetlands Ecology and Management,,,,10,1,,,71,84,,10.1023/A:1014311521708,,,2/1/02,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,decapod,"Whitelaw, DM; Zajac, RN",,,,,,,,Assessment of prey availability for diamondback terrapins in a Connecticut salt marsh,,,,,,,,NORTHEASTERN NATURALIST,,,,9,4,,,407,418,,10.2307/3858553,,,2002,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,No,43,decapod,"Pennings, SC; Siska, EL; Bertness, MD",,,,"Pennings, Steven/A-8326-2013","Pennings, Steven/0000-0003-4757-7125",,,Latitudinal differences in plant palatability in Atlantic coast salt marshes,,,,,,,,ECOLOGY,,,,82,5,,,1344,1359,,,,,5/1/15,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,No,Yes,,decapod,"West, JM; Zedler, JB",,,,,,,,Marsh-creek connectivity: Fish use of a tidal salt marsh in southern California,,,,,,,,ESTUARIES,,,,23,5,,,699,710,,10.2307/1352896,,,Oct-00,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,44,decapod,"Hovel, KA; Morgan, SG",,,,,,,,Planktivory as a selective force for reproductive synchrony and larval migration,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,157,,,,79,95,,10.3354/meps157079,,,1997,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,No,Yes,,decapod,"SOGARD, SM; ABLE, KW",,,,,,,,DIEL VARIATION IN IMMIGRATION OF FISHES AND DECAPOD CRUSTACEANS TO ARTIFICIAL SEAGRASS HABITAT,,,,,,,,ESTUARIES,,,,17,3,,,622,630,,10.2307/1352410,,,Sep-94,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,decapod,"ROUNTREE, RA; ABLE, KW",,,,,,,,DIEL VARIATION IN DECAPOD CRUSTACEAN AND FISH ASSEMBLAGES IN NEW-JERSEY POLYHALINE MARSH CREEKS,,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,37,2,,,181,201,,10.1006/ecss.1993.1050,,,Aug-93,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,No,Yes,,decapod,"STIVEN, AE; GARDNER, SA",,,,,,,,"POPULATION PROCESSES IN THE RIBBED MUSSEL GEUKENSIA-DEMISSA (DILLWYN) IN A NORTH-CAROLINA SALT-MARSH TIDAL GRADIENT - SPATIAL PATTERN, PREDATION, GROWTH AND MORTALITY",,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,160,1,,,81,102,,10.1016/0022-0981(92)90112-N,,,1992,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,duplicate,decapod,"SOGARD, SM; ABLE, KW",,,,,,,,"A COMPARISON OF EELGRASS, SEA LETTUCE MACROALGAE, AND MARSH CREEKS AS HABITATS FOR EPIBENTHIC FISHES AND DECAPODS",,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,33,5,,,501,519,,10.1016/0272-7714(91)90087-R,,,Nov-91,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,duplicate,decapod,"DAVANZO, C; ALBER, M; VALIELA, I",,,,,,,,NITROGEN ASSIMILATION FROM AMORPHOUS DETRITUS BY 2 COASTAL CONSUMERS,,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,33,2,,,203,209,,10.1016/0272-7714(91)90007-X,,,Aug-91,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,No,Yes,,decapod,"WILSON, KA; ABLE, KW; HECK, KL",,,,,,,,PREDATION RATES ON JUVENILE BLUE CRABS IN ESTUARINE NURSERY HABITATS - EVIDENCE FOR THE IMPORTANCE OF MACROALGAE (ULVA-LACTUCA),,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,58,3,,,243,251,,,,,Jan-90,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,decapod,"YAN, HY",,,,"hou, jingyi/F-9927-2010",,,,"COMPARATIVE REPRODUCTIVE STRATEGIES OF THE GRASS SHRIMPS, PALAEMONETES-VULGARIS AND PALAEMONETES-PUGIO (DECAPODA, NATANTIA) IN GREAT SIPPEWISSETT SALT-MARSH, MASSACHUSETTS, USA",,,,,2,,,CRUSTACEANA,,,,52,,,,141,148,,10.1163/156854087X00187,,,Mar-87,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,decapod,"WARREN, JH",,,,,,,,"CLIMBING AS AN AVOIDANCE-BEHAVIOR IN THE SALT-MARSH PERIWINKLE, LITTORINA-IRRORATA (SAY)",,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,89,1,,,11,28,,10.1016/0022-0981(85)90079-6,,,1985,1985,,,,,,,,,,73,0,60,0,73,0022-0981,,WOS:A1985AMB3800002,,,,,,,,,,
Yes,Yes,Yes,Yes,45,decapod,"HOFFMAN, JA; KATZ, J; BERTNESS, MD",,,,,,,,FIDDLER CRAB DEPOSIT-FEEDING AND MEIOFAUNAL ABUNDANCE IN SALT-MARSH HABITATS,,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,82,2/3/15,,,161,174,,10.1016/0022-0981(84)90101-1,,,1984,1984,,,,,,,,,,60,0,54,0,61,0022-0981,,WOS:A1984TW08200005,,,,,,,,,,
Yes,No,No,Yes,,decapod,"BARNWELL, FH; THURMAN, CL",,,,,,,,"TAXONOMY AND BIOGEOGRAPHY OF THE FIDDLER CRABS (OCYPODIDAE, GENUS UCA) OF THE ATLANTIC AND GULF COASTS OF EASTERN NORTH-AMERICA",,,,,,,,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,,,,81,1,,,23,87,,10.1111/j.1096-3642.1984.tb02558.x,,,1984,1984,,,,,,,,,,59,0,55,3,63,0024-4082,,WOS:A1984SU02400002,,,,,,,,,,
Yes,No,No,Yes,,decapod,"Forgash, A. J.",,,,,,,,A summary of studies of the impact of temephos and chlorpyrifos on the saltmarsh environment.,,,,,,,,"Proceedings, New Jersey Mosquito Control Association, Inc.",,,,63,,,,94,98,,,,,1976,1976,,,,,,"Proceedings, Sixty-third Annual Meeting, New Jersey Mosquito Control Association Inc. Cherry Hill, New Jersey, 10, 11, 12 March 1976.",,,,3,0,2,0,3,,,CABI:19770545567,,,,,,,,,,
Yes,No,No,Yes,,decapod,"FERRIGNO, F.; JOBBINS, D. M.",,,,,,,,"A summary of nine years of applied mosquito-wildlife research on Cumberland County, N.J., salt marshes.",,,,,,,,"Proceedings. New Jersey Mosquito Extermination Association, 53rd Annual Meeting",,,,,,,,97,112,,,,,1966,1966,,,,,,Proceedings. Fifty-third annual meeting. New Jersey Mosquito Extermination Association.,,,,0,0,0,0,0,,,CABI:19691000857,,,,,,,,,,
Yes,Yes,Yes,Yes,30,copepod,"Pascal, Pierre-Yves; Fleeger, John W.; Boschker, Henricus T. S.; Mitwally, Hanan M.; Johnson, David S.",,,,"Fleeger, John/A-6215-2013",,,,Response of the benthic food web to short- and long-term nutrient enrichment in saltmarsh mudflats,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,474,,,,27,41,,10.3354/meps10090,,,2013,2013,,,,,,,,,,7,0,7,2,8,0171-8630,,WOS:000314368600003,,,,,,,,,,
Yes,No,No,Yes,,copepod,"Galvan, Kari; Fleeger, John W.; Peterson, Bruce; Drake, D.; Deegan, Linda A.; Johnson, David S.",,,,"Fleeger, John/A-6215-2013",,,,Natural abundance stable isotopes and dual isotope tracer additions help to resolve resources supporting a saltmarsh food web,,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,410,,,,1,11,,10.1016/j.jembe.2011.08.007,,,12/15/11,2011,,,,,,,,,,10,0,9,0,10,0022-0981,,WOS:000298535600001,,,,,,,,,,
No,Yes,Yes,Yes,,copepod,"Verity, Peter G.; Borkman, David G.",,,,,,,,A Decade of Change in the Skidaway River Estuary. III. Plankton,,,,,,,,ESTUARIES AND COASTS,,,,33,2,SI,,513,540,,10.1007/s12237-009-9208-2,,,3/10/15,2010,,,,,,,,,,10,1,11,1,11,1559-2723,,WOS:000275424300022,,,,,,,,,,
Yes,Yes,Yes,Yes,31,copepod,"Londsdale, Darcy J.; Cerrato, Robert M.; Holland, Robert; Mass, Allison; Holt, Lee; Schaffner, Rebecca A; Pan, Jeronimo; Caron, David A.",,,,,,,,"Influence of suspension-feeding bivalves on the pelagic food webs of shallow, coastal embayments.",,,,,,,,Aquatic Biology,,,,6,1,,,263,279,,,,,2009,2009,,,,,,,,,,0,0,0,0,0,,,ZOOREC:ZOOR14512076319,,,,,,,,,,
Yes,Yes,Yes,Yes,duplicate,copepod,"Lonsdale, Darcy J.; Cerrato, Robert M.; Holland, Robert; Mass, Allison; Holt, Lee; Schaffner, Rebecca A.; Pan, Jeronimo; Caron, David A.",,,,,,,,"Influence of suspension-feeding bivalves on the pelagic food webs of shallow, coastal embayments",,,,,,,,AQUATIC BIOLOGY,,,,6,1/3/15,,,263,279,,10.3354/ab00130,,,2009,2009,,,,,,,,,,14,0,13,0,14,1864-7790,,WOS:000269562400027,,,,,,,,,,
Yes,Yes,Yes,Yes,32,copepod,"Fleeger, J. W.; Johnson, D. S.; Galvan, K. A.; Deegan, L. A.",,,,"Fleeger, John/A-6215-2013",,,,Top-down and bottom-up control of infauna varies across the saltmarsh landscape,,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,357,1,,,20,34,,10.1016/j.jembe.2007.12.003,,,3/17/08,2008,,,,,,,,,,20,0,18,0,20,0022-0981,,WOS:000255310400003,,,,,,,,,,
Yes,No,No,Yes,,copepod,"Samson, J. C.; Shumway, S. E.; Weis, J. S.",,,,,,,,"Effects of the toxic dinoflagellate, Alexandrium fundyense on three species of larval fish: a food-chain approach",,,,,,,,JOURNAL OF FISH BIOLOGY,,,,72,1,,,168,188,,10.1111/j.1095-8649.2007.01698.x,,,1/8/15,2008,,,,,,,,,,19,1,19,0,20,0022-1112,,WOS:000252713100012,,,,,,,,,,
Yes,Yes,Yes,Yes,34,copepod,"Galvan, Kari; Fleeger, John W.; Fry, Brian",,,,"Fleeger, John/A-6215-2013",,,,Stable isotope addition reveals dietary importance of phytoplankton and microphytobenthos to saltmarsh infauna,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,359,,,,37,49,,10.3354/meps07321,,,2008,2008,,,,,,,,,,36,0,35,0,37,0171-8630,,WOS:000256338000004,,,,,,,,,,
Yes,No,Yes,Yes,35,copepod,"Fleeger, J. W.; Johnson, D. S.; Galvan, K. A.; Deegan, L. A.",,,,,,,,Top-down and bottom-up control of infauna varies across the saltmarsh landscape.,,,,,,,,Journal of Experimental Marine Biology and Ecology,,,,357,1,,,20,34,,10.1016/j.jembe.2007.12.003,,,2008,2008,,,,,,,,,,0,0,0,0,0,0022-0981,,CABI:20093306943,,,,,,,,,,
Yes,No,No,Yes,,copepod,"Robertson, TL; Weis, JS",,,,,,,,A comparison of epifaunal communities associated with the stems of salt marsh grasses Phragmites australis and Spartina alterniflora,,,,,,,,WETLANDS,,,,25,1,,,1,7,,10.1672/0277-5212(2005)025[0001:ACOECA]2.0.CO;2,,,3/5/15,2005,,,,,,,,,,33,1,28,1,34,0277-5212,,WOS:000228542000001,,,,,,,,,,
,,,,duplicate (15),copepod,"James-Pirri, MJ; Raposa, KB; Catena, JG",,,,,,,,"Diet composition of mummichogs, Fundulus heteroclitus, from restoring and unrestricted regions of a New England (USA) salt marsh",,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,53,2,,,205,213,,10.1006/ecss.2001.0807,,,8/1/15,2001,,,,,,,,,,26,0,24,0,26,0272-7714,,WOS:000171125500008,,,,,,,,,,
,,,,duplicate,copepod,"Stehlik, LL; Meise, CJ",,,,,,,,Diet of winter flounder in a New Jersey estuary: Ontogenetic change and spatial variation,,,,,,,,ESTUARIES,,,,23,3,,,381,391,,10.2307/1353330,,,Jun-00,2000,,,,,,,,,,39,1,39,1,42,0160-8347,,WOS:000088106100009,,,,,,,,,,
Yes,No,Yes,Yes,46,copepod,"Hughes, JE; Deegan, LA; Peterson, BJ; Holmes, RM; Fry, B",,,,,,,,Nitrogen flow through the food web in the oligohaline zone of a new England estuary,,,,,,,,ECOLOGY,,,,81,2,,,433,452,,10.1890/0012-9658(2000)081[0433:NFTTFW]2.0.CO;2,,,Feb-00,2000,,,,,,,,,,56,1,48,0,57,Dec-58,,WOS:000085077200012,,,,,,,,,,
No,Yes,No,Yes,,copepod,"ALLEN, DM; JOHNSON, WS; OGBURNMATTHEWS, V",,,,,,,,TROPHIC RELATIONSHIPS AND SEASONAL UTILIZATION OF SALT-MARSH CREEKS BY ZOOPLANKTIVOROUS FISHES,,,,,,,,ENVIRONMENTAL BIOLOGY OF FISHES,,,,42,1,,,37,50,,10.1007/BF00002350,,,Jan-95,1995,,,,,,,,,,30,1,27,1,31,0378-1909,,WOS:A1995QG52700005,,,,,,,,,,
,,,,unattainable,copepod,"CREASER, EP; PERKINS, HC",,,,,,,,"THE DISTRIBUTION, FOOD, AND AGE OF JUVENILE BLUEFISH, POMATOMUS-SALTATRIX, IN MAINE",,,,,,,,FISHERY BULLETIN,,,,92,3,,,494,508,,,,,Jul-94,1994,,,,,,,,,,16,0,16,0,16,0090-0656,,WOS:A1994NX91100003,,,,,,,,,,
,,,,duplicate,copepod,"ALLEN, EA; FELL, PE; PECK, MA; GIEG, JA; GUTHKE, CR; NEWKIRK, MD",,,,"Peck, Myron/H-6164-2011",,,,"GUT CONTENTS OF COMMON MUMMICHOGS, FUNDULUS-HETEROCLITUS L, IN A RESTORED IMPOUNDED MARSH AND IN NATURAL REFERENCE MARSHES",,,,,,,,ESTUARIES,,,,17,2,,,462,471,,10.2307/1352676,,,Jun-94,1994,,,,,,,,,,53,0,40,0,54,0160-8347,,WOS:A1994PK14200012,,,,,,,,,,
,,,,unattainable,copepod,"Creaser, Edwin P.; Perkins, Herbert C.",,,,,,,,"The distribution, food, and age of juvenile bluefish, Pomatomus saltatrix, in Maine",,,,,,,,U S National Marine Fisheries Service Fishery Bulletin,,,,92,3,,,494,508,,,,,1994,1994,,,,,,,,,,0,0,0,0,0,0090-0656,,BCI:BCI199497416572,,,,,,,,,,
No,No,No,Yes,,copepod,"KENNY, EA; RUBER, E",,,,,,,,"EFFECTS OF AROSURF(R) MSF ON MICROCRUSTACEA ASSOCIATED WITH THE CATTAIL MOSQUITO, COQUILLETTIDIA-PERTURBANS",,,,,,,,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,,,,9,3,,,361,363,,,,,Sep-93,1993,,,,,,,,,,4,0,4,0,4,8756-971X,,WOS:A1993MC44300024,7902417,,,,,,,,,
,,,,unattainable,copepod,"ANDREADIS, TG",,,,,,,,"EPIZOOTIOLOGY OF AMBLYOSPORA-CONNECTICUS (MICROSPORIDA) IN FIELD POPULATIONS OF THE SALTMARSH MOSQUITO, AEDES-CANTATOR, AND THE CYCLOPOID COPEPOD, ACANTHOCYCLOPS-VERNALIS",,,,,,,,JOURNAL OF PROTOZOOLOGY,,,,37,3,,,174,182,,10.1111/j.1550-7408.1990.tb01123.x,,,MAY-JUN 1990,1990,,,,,,,,,,30,0,26,0,30,0022-3921,,WOS:A1990DM20300004,2359045,,,,,,,,,
No,No,No,Yes,,copepod,"ANDREADIS, TG",,,,,,,,"AMBLYOSPORA-CONNECTICUS SP-NOV (MICROSPORIDA, AMBLYOSPORIDAE) - HORIZONTAL TRANSMISSION STUDIES IN THE MOSQUITO AEDES-CANTATOR AND FORMAL DESCRIPTION",,,,,,,,JOURNAL OF INVERTEBRATE PATHOLOGY,,,,52,1,,,90,101,,10.1016/0022-2011(88)90107-3,,,Jul-88,1988,,,,,,,,,,43,0,42,0,44,0022-2011,,WOS:A1988N952400013,,,,,,,,,,
No,No,No,Yes,,copepod,"MARCOTTE, BM",,,,,,,,SEDIMENTARY PARTICLE SIZES AND THE ECOLOGICAL GRAIN OF FOOD RESOURCES FOR MEIOBENTHIC COPEPODS,,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,23,3,,,423,427,,10.1016/0272-7714(86)90038-7,,,Sep-86,1986,,,,,,,,,,11,0,11,0,11,0272-7714,,WOS:A1986E515800011,,,,,,,,,,
,,,Yes,47,copepod,"DECHO, AW; CASTENHOLZ, RW",,,,,,,,SPATIAL PATTERNS AND FEEDING OF MEIOBENTHIC HARPACTICOID COPEPODS IN RELATION TO RESIDENT MICROBIAL-FLORA,,,,,,,,HYDROBIOLOGIA,,,,131,1,,,87,96,,10.1007/BF00008327,,,1/15/86,1986,,,,,,,,,,52,0,45,1,52,0018-8158,,WOS:A1986AYR3500009,,,,,,,,,,
,,,,unattainable,copepod,COOREY D N; ABLE K W; SHISLER J K,,,,,,,,LIFE HISTORY AND FOOD HABITS OF THE INLAND SILVERSIDES MENIDIA-BERYLLINA IN A NEW-JERSEY USA SALT MARSH,,,,,,,,Bulletin New Jersey Academy of Science,,,,30,1,,,29,38,,,,,1985,1985,,,,,,,,,,5,0,4,0,6,0028-5455,,BCI:BCI198580010839,,,,,,,,,,
,,,Yes,48,copepod,"CADIGAN, KM; FELL, PE",,,,,,,,"REPRODUCTION, GROWTH AND FEEDING-HABITS OF MENIDIA-MENIDIA (ATHERINIDAE) IN A TIDAL MARSH-ESTUARINE SYSTEM IN SOUTHERN NEW-ENGLAND",,,,,,,,COPEIA,,,,,1,,,21,26,,,,,1985,1985,,,,,,,,,,11,0,9,0,11,0045-8511,,WOS:A1985ARH6900002,,,,,,,,,,
No,No,No,Yes,,copepod,"ANDREADIS, TG; MAGNARELLI, LA",,,,,,,,"NEW VARIANTS OF THE COELOMOMYCES-PSOROPHORAE COMPLEX (CHYTRIDIOMYCETES, BLASTOCLADIALES) FROM THE SALT-MARSH MOSQUITOS AEDES-CANTATOR AND AEDES-SOLLICITANS (DIPTERA, CULICIDAE)",,,,,,,,JOURNAL OF MEDICAL ENTOMOLOGY,,,,21,4,,,379,383,,,,,1984,1984,,,,,,,,,,1,0,1,0,1,0022-2585,,WOS:A1984TC38900003,,,,,,,,,,
,,,,unattainable,copepod,IMRIE D M G; DABRON G R,,,,,,,,FOOD OF SOME IMMATURE FISH OF MINAS BASIN BAY OF FUNDY CANADA,,,,,,,,Proceedings of the Nova Scotian Institute of Science,,,,31,2,,,149,154,,,,,1981,1981,,,,,,,,,,15,0,13,0,15,0078-2521,,BCI:BCI198273023755,,,,,,,,,,
,,,,unattainable,copepod,COOREY D N; ABLE K W; SHISLER J K,,,,,,,,SALT MARSH FISHES OF NEW-JERSEY USA LIFE HISTORY OF THE TIDEWATER SILVERSIDE MENIDIA-BERYLLINA,,,,,,,,Bulletin New Jersey Academy of Science,,,,26,2,,,66,66,,,,,1981,1981,,,,,,"26TH ANNUAL MEETING OF THE NEW JERSEY ACADEMY OF SCIENCE AND AFFILIATED SOCIETIES, MAR. 28, 1981. BULL N J ACAD SCI.",,,,0,0,0,0,0,0028-5455,,BCI:BCI198223047966,,,,,,,,,,
,,,,unattainable,copepod,HEINLE D R; FLEMER D A; USTACH J F,,,,,,,,CONTRIBUTION OF TIDAL MARSHLANDS TO MID ATLANTIC ESTUARINE FOOD CHAINS,,,,,,,,"WILEY, MARTIN (ED.). ESTUARINE PROCESSES, VOL. 2. CIRCULATION, SEDIMENTS, AND TRANSFER OF MATERIAL IN THE ESTUARY. THIRD INTERNATIONAL ESTUARINE CONFERENCE. GALVESTON, TEX., USA, OCT. 7-9, 1975. XVIII+428P. ILLUS. MAPS. ACADEMIC PRESS: NEW YORK, N.Y., USA; LONDON, ENGLAND. ISBN 0-12-751802-9",,,,,,,,309,320,,,,,1977,1977,,,,,,,,,,0,0,0,0,0,,,BCI:BCI197713068261,,,,,,,,,,
,,,,unattainable,copepod,BOGDAN K G; MCNAUGHT D C,,,,,,,,SELECTIVE FEEDING IN DIAPTOMUS AND DAPHNIA,,,,,,,,"MARSHALL, K. E. XIX CONGRESS INTERNATIONAL ASSOCIATION OF LIMNOLOGY, WINNIPEG, CANADA, AUG. 22-29, 1974. 238P. FRESHWATER INSTITUTE, DEPARTMENT OF ENVIRONMENT: WINNIPEG, MANITOBE, CANADA",,,,,,,,13,13,,,,,1974,1974,,,,,,,,,,0,0,0,0,0,,,BCI:BCI197511090202,,,,,,,,,,
,,,,unattainable,copepod,"FERRIGNO, F.; JOBBINS, D. M.",,,,,,,,"A summary of nine years of applied mosquito-wildlife research on Cumberland County, N.J., salt marshes.",,,,,,,,"Proceedings. New Jersey Mosquito Extermination Association, 53rd Annual Meeting",,,,,,,,97,112,,,,,1966,1966,,,,,,Proceedings. Fifty-third annual meeting. New Jersey Mosquito Extermination Association.,,,,0,0,0,0,0,,,CABI:19691000857,,,,,,,,,,
Yes,No,No,Yes,,amphipod,"Warren, RS; Fell, PE; Rozsa, R; Brawley, AH; Orsted, AC; Olson, ET; Swamy, V; Niering, WA",,,,,,,,Salt marsh restoration in Connecticut: 20 years of science and management,,,,,,,,RESTORATION ECOLOGY,,,,10,3,,,497,513,,10.1046/j.1526-100X.2002.01031.x,,,9/2/15,2002,,,,,,15th Biennial Meeting of the Estuarine-Research-Federation,"SEP 25-30, 1999",Estuarine Res Federat,"NEW ORLEANS, LOUISIANA",65,1,64,0,71,1061-2971,,WOS:000177383400009,,,,,,,,,,
Yes,No,No,Yes,,amphipod,"Angradi, TR; Hagan, SM; Able, KW",,,,,,,,Vegetation type and the intertidal macroinvertebrate fauna of a brackish marsh: Phragmites vs. Spartina,,,,,,,,WETLANDS,,,,21,1,,,75,92,,10.1672/0277-5212(2001)021[0075:VTATIM]2.0.CO;2,,,3/1/15,2001,,,,,,,,,,66,3,55,0,71,0277-5212,,WOS:000167840100008,,,,,,,,,,
Yes,Yes,Yes,Yes,22,amphipod,"Pascal, Pierre-Yves; Fleeger, John W.",Diverse Dietary Responses by Saltmarsh Consumers to Chronic Nutrient Enrichment,,,,,,,,ESTUARIES AND COASTS,,,36,6,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,amphipod,"Johnson, David Samuel",High-marsh invertebrates are susceptible to eutrophication,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,438,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,No,Yes,,amphipod,"Holomuzki, Joseph R.; Klarer, David M.",Invasive reed effects on benthic community structure in Lake Erie coastal marshes,,,,,,,,WETLANDS ECOLOGY AND MANAGEMENT,,,18,2,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,amphipod,"Johnson, David Samuel; Fleeger, John W.; Deegan, Linda A.",Large-scale manipulations reveal that top-down and bottom-up controls interact to alter habitat utilization by saltmarsh fauna,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,377,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,23,amphipod,"Bologna, Paul A. X.",Impact of differential predation potential on eelgrass (Zostera marina) faunal community structure,,,,,,,,AQUATIC ECOLOGY,,,41,2,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,amphipod,"Martinetto, P; Teichberg, M; Valiela, I","Coupling of estuarine benthic and pelagic food webs to land-derived nitrogen sources in Walquoit Bay, Massachusetts, USA",,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,307,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,No,Yes,,amphipod,"Laffaille, P; Petillon, J; Parlier, E; Valery, L; Ysnel, F; Radureau, A; Feunteun, E; Lefeuvre, JC",Does the invasive plant Elymus athericus modify fish diet in tidal salt marshes?,,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,65,4,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
